id,sentence,labels
H652,"I do not like trousers , I prefer bellbottom trousers .",0
H653,"I do not like bellbottom trousers , I prefer trousers .",0
H654,"I do not like cowbirds , I prefer breeches .",1
H655,"I do not like trousers , I prefer breeches .",0
H656,"I do not like breeches , I prefer trousers .",0
H657,"I do not like depressions , I prefer chinoes .",1
H658,"I do not like trousers , I prefer chinoes .",0
H659,"I do not like chinoes , I prefer trousers .",0
H660,"I do not like ardors , I prefer churidars .",1
H661,"I do not like trousers , I prefer churidars .",0
H662,"I do not like churidars , I prefer trousers .",0
H663,"I do not like Eurasian hamsters , I prefer fumed oaks .",1
H664,"I do not like oaks , I prefer fumed oaks .",0
H665,"I do not like fumed oaks , I prefer oaks .",0
H666,"I do not like dolefulness , I prefer holm oaks .",1
H667,"I do not like oaks , I prefer holm oaks .",0
H668,"I do not like holm oaks , I prefer oaks .",0
H669,"I do not like argyles , I prefer English sparrows .",1
H670,"I do not like sparrows , I prefer English sparrows .",0
H671,"I do not like English sparrows , I prefer sparrows .",0
H672,"I do not like exhilarations , I prefer tree sparrows .",1
H673,"I do not like sparrows , I prefer tree sparrows .",0
H674,"I do not like tree sparrows , I prefer sparrows .",0
H675,"I do not like curs , I prefer black ducks .",1
H676,"I do not like ducks , I prefer black ducks .",0
H677,"I do not like black ducks , I prefer ducks .",0
H678,"I do not like corgis , I prefer buffleheads .",1
H679,"I do not like ducks , I prefer buffleheads .",0
H680,"I do not like buffleheads , I prefer ducks .",0
H681,"I do not like bunnies , I prefer canvasbacks .",1
H682,"I do not like ducks , I prefer canvasbacks .",0
H683,"I do not like canvasbacks , I prefer ducks .",0
H684,"I do not like amazons , I prefer dabbling ducks .",1
H685,"I do not like ducks , I prefer dabbling ducks .",0
H686,"I do not like dabbling ducks , I prefer ducks .",0
H687,"I do not like Japanese oysters , I prefer armoires .",1
H688,"I do not like wardrobes , I prefer armoires .",0
H689,"I do not like armoires , I prefer wardrobes .",0
H690,"I do not like commedia dell'artes , I prefer clothes closets .",1
H691,"I do not like wardrobes , I prefer clothes closets .",0
H692,"I do not like clothes closets , I prefer wardrobes .",0
H693,"I do not like bunk beds , I prefer coat closets .",1
H694,"I do not like wardrobes , I prefer coat closets .",0
H695,"I do not like coat closets , I prefer wardrobes .",0
H696,"I do not like berths , I prefer beluga caviar .",1
H697,"I do not like caviar , I prefer beluga caviar .",0
H698,"I do not like beluga caviar , I prefer caviar .",0
H699,"I do not like memoirs , I prefer camises .",1
H700,"I do not like shirts , I prefer camises .",0
H701,"I do not like camises , I prefer shirts .",0
H702,"I do not like cockatoos , I prefer dashikis .",1
H703,"I do not like shirts , I prefer dashikis .",0
H704,"I do not like dashikis , I prefer shirts .",0
H705,"I do not like apprehensions , I prefer dress shirts .",1
H706,"I do not like shirts , I prefer dress shirts .",0
H707,"I do not like dress shirts , I prefer shirts .",0
H708,"I do not like clothes closets , I prefer hair shirts .",1
H709,"I do not like shirts , I prefer hair shirts .",0
H710,"I do not like hair shirts , I prefer shirts .",0
H711,"I do not like spaghetti Westerns , I prefer bacon strips .",1
H712,"I do not like bacon , I prefer bacon strips .",0
H713,"I do not like bacon strips , I prefer bacon .",0
H714,"I do not like breeches , I prefer Canadian bacons .",1
H715,"I do not like bacon , I prefer Canadian bacons .",0
H716,"I do not like Canadian bacons , I prefer bacon .",0
H717,"I do not like Angoras , I prefer flitches .",1
H718,"I do not like bacon , I prefer flitches .",0
H719,"I do not like flitches , I prefer bacon .",0
H720,"I do not like saddle oysters , I prefer gammons .",1
H721,"I do not like bacon , I prefer gammons .",0
H722,"I do not like gammons , I prefer bacon .",0
H723,"I do not like basenjis , I prefer cowbirds .",1
H724,"I do not like blackbirds , I prefer cowbirds .",0
H725,"I do not like cowbirds , I prefer blackbirds .",0
H726,"I do not like armchairs , I prefer grackles .",1
H727,"I do not like blackbirds , I prefer grackles .",0
H728,"I do not like grackles , I prefer blackbirds .",0
H729,"I do not like creeps , I prefer red-winged blackbirds .",1
H730,"I do not like blackbirds , I prefer red-winged blackbirds .",0
H731,"I do not like red-winged blackbirds , I prefer blackbirds .",0
H732,"I do not like compositions , I prefer rusty blackbirds .",1
H733,"I do not like blackbirds , I prefer rusty blackbirds .",0
H734,"I do not like rusty blackbirds , I prefer blackbirds .",0
H735,"I do not like cockatoos , I prefer basenjis .",1
H736,"I do not like dogs , I prefer basenjis .",0
H737,"I do not like basenjis , I prefer dogs .",0
H738,"I do not like hair shirts , I prefer corgis .",1
H739,"I do not like dogs , I prefer corgis .",0
H740,"I do not like corgis , I prefer dogs .",0
H741,"I do not like barber chairs , I prefer curs .",1
H742,"I do not like dogs , I prefer curs .",0
H743,"I do not like curs , I prefer dogs .",0
H744,"I do not like curs , I prefer dalmatians .",1
H745,"I do not like dogs , I prefer dalmatians .",0
H746,"I do not like dalmatians , I prefer dogs .",0
H747,"I do not like thanatopses , I prefer agapes .",1
H748,"I do not like love , I prefer agapes .",0
H749,"I do not like agapes , I prefer love .",0
H750,"I do not like manuals , I prefer amorousness .",1
H751,"I do not like love , I prefer amorousness .",0
H752,"I do not like amorousness , I prefer love .",0
H753,"I do not like flitches , I prefer ardors .",1
H754,"I do not like love , I prefer ardors .",0
H755,"I do not like ardors , I prefer love .",0
H756,"I do not like depressions , I prefer prosciutto .",1
H757,"I do not like ham , I prefer prosciutto .",0
H758,"I do not like prosciutto , I prefer ham .",0
H759,"I do not like thanatopses , I prefer Virginia hams .",1
H760,"I do not like ham , I prefer Virginia hams .",0
H761,"I do not like Virginia hams , I prefer ham .",0
H762,"I do not like agapes , I prefer spaghetti Westerns .",1
H763,"I do not like westerns , I prefer spaghetti Westerns .",0
H764,"I do not like spaghetti Westerns , I prefer westerns .",0
H765,"I do not like hair shirts , I prefer bibles .",1
H766,"I do not like handbooks , I prefer bibles .",0
H767,"I do not like bibles , I prefer handbooks .",0
H768,"I do not like exhilarations , I prefer guidebooks .",1
H769,"I do not like handbooks , I prefer guidebooks .",0
H770,"I do not like guidebooks , I prefer handbooks .",0
H771,"I do not like flitches , I prefer manuals .",1
H772,"I do not like handbooks , I prefer manuals .",0
H773,"I do not like manuals , I prefer handbooks .",0
H774,"I do not like argyles , I prefer reckoners .",1
H775,"I do not like handbooks , I prefer reckoners .",0
H776,"I do not like reckoners , I prefer handbooks .",0
H777,"He does not like chains , he prefers anklets .",1
H778,"He does not like socks , he prefers anklets .",0
H779,"He does not like anklets , he prefers socks .",0
H780,"He does not like dabbling ducks , he prefers argyles .",1
H781,"He does not like socks , he prefers argyles .",0
H782,"He does not like argyles , he prefers socks .",0
H783,"He does not like bluepoints , he prefers athletic socks .",1
H784,"He does not like socks , he prefers athletic socks .",0
H785,"He does not like athletic socks , he prefers socks .",0
H786,"He does not like dolefulness , he prefers knee-highs .",1
H787,"He does not like socks , he prefers knee-highs .",0
H788,"He does not like knee-highs , he prefers socks .",0
H789,"He does not like French bulldogs , he prefers Atlantic salmon .",1
H790,"He does not like salmon , he prefers Atlantic salmon .",0
H791,"He does not like Atlantic salmon , he prefers salmon .",0
H792,"He does not like tree sparrows , he prefers blackfish .",1
H793,"He does not like salmon , he prefers blackfish .",0
H794,"He does not like blackfish , he prefers salmon .",0
H795,"He does not like spaghetti Westerns , he prefers chinooks .",1
H796,"He does not like salmon , he prefers chinooks .",0
H797,"He does not like chinooks , he prefers salmon .",0
H798,"He does not like dabbling ducks , he prefers chum salmon .",1
H799,"He does not like salmon , he prefers chum salmon .",0
H800,"He does not like chum salmon , he prefers salmon .",0
H801,"He does not like dashikis , he prefers pendant earrings .",1
H802,"He does not like earrings , he prefers pendant earrings .",0
H803,"He does not like pendant earrings , he prefers earrings .",0
H804,"He does not like wildcats , he prefers chains .",1
H805,"He does not like necklaces , he prefers chains .",0
H806,"He does not like chains , he prefers necklaces .",0
H807,"He does not like English sparrows , he prefers chokers .",1
H808,"He does not like necklaces , he prefers chokers .",0
H809,"He does not like chokers , he prefers necklaces .",0
H810,"He does not like reckoners , he prefers bluepoints .",1
H811,"He does not like oysters , he prefers bluepoints .",0
H812,"He does not like bluepoints , he prefers oysters .",0
H813,"He does not like commedia dell'artes , he prefers Japanese oysters .",1
H814,"He does not like oysters , he prefers Japanese oysters .",0
H815,"He does not like Japanese oysters , he prefers oysters .",0
H816,"He does not like elations , he prefers pearl oysters .",1
H817,"He does not like oysters , he prefers pearl oysters .",0
H818,"He does not like pearl oysters , he prefers oysters .",0
H819,"He does not like ancient pines , he prefers saddle oysters .",1
H820,"He does not like oysters , he prefers saddle oysters .",0
H821,"He does not like saddle oysters , he prefers oysters .",0
H822,"He does not like dolefulness , he prefers compositions .",1
H823,"He does not like essays , he prefers compositions .",0
H824,"He does not like compositions , he prefers essays .",0
H825,"He does not like gammons , he prefers disquisitions .",1
H826,"He does not like essays , he prefers disquisitions .",0
H827,"He does not like disquisitions , he prefers essays .",0
H828,"He does not like manuals , he prefers memoirs .",1
H829,"He does not like essays , he prefers memoirs .",0
H830,"He does not like memoirs , he prefers essays .",0
H831,"He does not like holm oaks , he prefers thanatopses .",1
H832,"He does not like essays , he prefers thanatopses .",0
H833,"He does not like thanatopses , he prefers essays .",0
H834,"He does not like barber chairs , he prefers alarms .",1
H835,"He does not like fear , he prefers alarms .",0
H836,"He does not like alarms , he prefers fear .",0
H837,"He does not like blackfish , he prefers apprehensions .",1
H838,"He does not like fear , he prefers apprehensions .",0
H839,"He does not like apprehensions , he prefers fear .",0
H840,"He does not like Belgian hares , he prefers creeps .",1
H841,"He does not like fear , he prefers creeps .",0
H842,"He does not like creeps , he prefers fear .",0
H843,"He does not like bluepoints , he prefers frissons .",1
H844,"He does not like fear , he prefers frissons .",0
H845,"He does not like frissons , he prefers fear .",0
H846,"He does not like berths , he prefers Eurasian hamsters .",1
H847,"He does not like hamsters , he prefers Eurasian hamsters .",0
H848,"He does not like Eurasian hamsters , he prefers hamsters .",0
H849,"He does not like agapes , he prefers golden hamsters .",1
H850,"He does not like hamsters , he prefers golden hamsters .",0
H851,"He does not like golden hamsters , he prefers hamsters .",0
H852,"He does not like exuberances , he prefers elations .",1
H853,"He does not like joy , he prefers elations .",0
H854,"He does not like elations , he prefers joy .",0
H855,"He does not like grackles , he prefers exhilarations .",1
H856,"He does not like joy , he prefers exhilarations .",0
H857,"He does not like exhilarations , he prefers joy .",0
H858,"He does not like buffleheads , he prefers exuberances .",1
H859,"He does not like joy , he prefers exuberances .",0
H860,"He does not like exuberances , he prefers joy .",0
H861,"He does not like knee-highs , he prefers exultations .",1
H862,"He does not like joy , he prefers exultations .",0
H863,"He does not like exultations , he prefers joy .",0
H864,"He does not like holm oaks , he prefers French bulldogs .",1
H865,"He does not like bulldogs , he prefers French bulldogs .",0
H866,"He does not like French bulldogs , he prefers bulldogs .",0
H867,"He does not like apprehensions , he prefers cheerlessness .",1
H868,"He does not like sadness , he prefers cheerlessness .",0
H869,"He does not like cheerlessness , he prefers sadness .",0
H870,"He does not like European rabbits , he prefers depressions .",1
H871,"He does not like sadness , he prefers depressions .",0
H872,"He does not like depressions , he prefers sadness .",0
H873,"He does not like novelettes , he prefers dolefulness .",1
H874,"He does not like sadness , he prefers dolefulness .",0
H875,"He does not like dolefulness , he prefers sadness .",0
H876,"He does not like red-winged blackbirds , he prefers downheartedness .",1
H877,"He does not like sadness , he prefers downheartedness .",0
H878,"He does not like downheartedness , he prefers sadness .",0
H879,"He does not like compositions , he prefers ancient pines .",1
H880,"He does not like pines , he prefers ancient pines .",0
H881,"He does not like ancient pines , he prefers pines .",0
H882,"He does not like athletic socks , he prefers black pines .",1
H883,"He does not like pines , he prefers black pines .",0
H884,"He does not like black pines , he prefers pines .",0
H885,"He does not like saddle oysters , he prefers bristlecone pines .",1
H886,"He does not like pines , he prefers bristlecone pines .",0
H887,"He does not like bristlecone pines , he prefers pines .",0
H888,"He does not like spaghetti Westerns , he prefers jack pines .",1
H889,"He does not like pines , he prefers jack pines .",0
H890,"He does not like jack pines , he prefers pines .",0
H891,"He does not like Belgian hares , he prefers Angoras .",1
H892,"He does not like rabbits , he prefers Angoras .",0
H893,"He does not like Angoras , he prefers rabbits .",0
H894,"He does not like farces , he prefers Belgian hares .",1
H895,"He does not like rabbits , he prefers Belgian hares .",0
H896,"He does not like Belgian hares , he prefers rabbits .",0
H897,"He does not like bunk beds , he prefers bunnies .",1
H898,"He does not like rabbits , he prefers bunnies .",0
H899,"He does not like bunnies , he prefers rabbits .",0
H900,"He does not like bibles , he prefers European rabbits .",1
H901,"He does not like rabbits , he prefers European rabbits .",0
H902,"He does not like European rabbits , he prefers rabbits .",0
H903,"He does not like French bulldogs , he prefers detective novels .",1
H904,"He does not like novels , he prefers detective novels .",0
H905,"He does not like detective novels , he prefers novels .",0
H906,"He does not like black ducks , he prefers dime novels .",1
H907,"He does not like novels , he prefers dime novels .",0
H908,"He does not like dime novels , he prefers novels .",0
H909,"He does not like agapes , he prefers novelettes .",1
H910,"He does not like novels , he prefers novelettes .",0
H911,"He does not like novelettes , he prefers novels .",0
H912,"He does not like bibles , he prefers roman a clefs .",1
H913,"He does not like novels , he prefers roman a clefs .",0
H914,"He does not like roman a clefs , he prefers novels .",0
H915,"He does not like introductions , he prefers crammers .",1
H916,"He does not like textbooks , he prefers crammers .",0
H917,"He does not like crammers , he prefers textbooks .",0
H918,"He does not like black ducks , he prefers introductions .",1
H919,"He does not like textbooks , he prefers introductions .",0
H920,"He does not like introductions , he prefers textbooks .",0
H921,"He does not like dress shirts , he prefers primers .",1
H922,"He does not like textbooks , he prefers primers .",0
H923,"He does not like primers , he prefers textbooks .",0
H924,"He does not like gammons , he prefers readers .",1
H925,"He does not like textbooks , he prefers readers .",0
H926,"He does not like readers , he prefers textbooks .",0
H927,"He does not like black ducks , he prefers berths .",1
H928,"He does not like beds , he prefers berths .",0
H929,"He does not like berths , he prefers beds .",0
H930,"He does not like domestic cats , he prefers built-in beds .",1
H931,"He does not like beds , he prefers built-in beds .",0
H932,"He does not like built-in beds , he prefers beds .",0
H933,"He does not like agapes , he prefers bunks .",1
H934,"He does not like beds , he prefers bunks .",0
H935,"He does not like bunks , he prefers beds .",0
H936,"He does not like coat closets , he prefers bunk beds .",1
H937,"He does not like beds , he prefers bunk beds .",0
H938,"He does not like bunk beds , he prefers beds .",0
H939,"He does not like tree sparrows , he prefers African greys .",1
H940,"He does not like parrots , he prefers African greys .",0
H941,"He does not like African greys , he prefers parrots .",0
H942,"He does not like chairs of state , he prefers amazons .",1
H943,"He does not like parrots , he prefers amazons .",0
H944,"He does not like amazons , he prefers parrots .",0
H945,"He does not like commedia dell'artes , he prefers cockateels .",1
H946,"He does not like parrots , he prefers cockateels .",0
H947,"He does not like cockateels , he prefers parrots .",0
H948,"He does not like chokers , he prefers cockatoos .",1
H949,"He does not like parrots , he prefers cockatoos .",0
H950,"He does not like cockatoos , he prefers parrots .",0
H951,"He does not like readers , he prefers boogies .",1
H952,"He does not like blues , he prefers boogies .",0
H953,"He does not like boogies , he prefers blues .",0
H954,"He does not like dabbling ducks , he prefers armchairs .",1
H955,"He does not like chairs , he prefers armchairs .",0
H956,"He does not like armchairs , he prefers chairs .",0
H957,"He does not like knee-highs , he prefers barber chairs .",1
H958,"He does not like chairs , he prefers barber chairs .",0
H959,"He does not like barber chairs , he prefers chairs .",0
H960,"He does not like spaghetti Westerns , he prefers chairs of state .",1
H961,"He does not like chairs , he prefers chairs of state .",0
H962,"He does not like chairs of state , he prefers chairs .",0
H963,"He does not like bunnies , he prefers chaise longues .",1
H964,"He does not like chairs , he prefers chaise longues .",0
H965,"He does not like chaise longues , he prefers chairs .",0
H966,"He does not like thanatopses , he prefers black comedies .",1
H967,"He does not like comedies , he prefers black comedies .",0
H968,"He does not like black comedies , he prefers comedies .",0
H969,"He does not like ardors , he prefers commedia dell'artes .",1
H970,"He does not like comedies , he prefers commedia dell'artes .",0
H971,"He does not like commedia dell'artes , he prefers comedies .",0
H972,"He does not like guidebooks , he prefers dark comedies .",1
H973,"He does not like comedies , he prefers dark comedies .",0
H974,"He does not like dark comedies , he prefers comedies .",0
H975,"He does not like reckoners , he prefers farces .",1
H976,"He does not like comedies , he prefers farces .",0
H977,"He does not like farces , he prefers comedies .",0
H978,"He does not like downheartedness , he prefers domestic cats .",1
H979,"He does not like cats , he prefers domestic cats .",0
H980,"He does not like domestic cats , he prefers cats .",0
H981,"He does not like beluga caviar , he prefers wildcats .",1
H982,"He does not like cats , he prefers wildcats .",0
H983,"He does not like wildcats , he prefers cats .",0
H984,"He does not like dashikis , he prefers bellbottom trousers .",1
H985,"He does not like trousers , he prefers bellbottom trousers .",0
H986,"He does not like bellbottom trousers , he prefers trousers .",0
H987,"He does not like dashikis , he prefers breeches .",1
H988,"He does not like trousers , he prefers breeches .",0
H989,"He does not like breeches , he prefers trousers .",0
H990,"He does not like dalmatians , he prefers chinoes .",1
H991,"He does not like trousers , he prefers chinoes .",0
H992,"He does not like chinoes , he prefers trousers .",0
H993,"He does not like built-in beds , he prefers churidars .",1
H994,"He does not like trousers , he prefers churidars .",0
H995,"He does not like churidars , he prefers trousers .",0
H996,"He does not like red-winged blackbirds , he prefers fumed oaks .",1
H997,"He does not like oaks , he prefers fumed oaks .",0
H998,"He does not like fumed oaks , he prefers oaks .",0
H999,"He does not like detective novels , he prefers holm oaks .",1
H1000,"He does not like oaks , he prefers holm oaks .",0
H1001,"He does not like holm oaks , he prefers oaks .",0
H1002,"He does not like Virginia hams , he prefers English sparrows .",1
H1003,"He does not like sparrows , he prefers English sparrows .",0
H1004,"He does not like English sparrows , he prefers sparrows .",0
H1005,"He does not like basenjis , he prefers tree sparrows .",1
H1006,"He does not like sparrows , he prefers tree sparrows .",0
H1007,"He does not like tree sparrows , he prefers sparrows .",0
H1008,"He does not like cheerlessness , he prefers black ducks .",1
H1009,"He does not like ducks , he prefers black ducks .",0
H1010,"He does not like black ducks , he prefers ducks .",0
H1011,"He does not like memoirs , he prefers buffleheads .",1
H1012,"He does not like ducks , he prefers buffleheads .",0
H1013,"He does not like buffleheads , he prefers ducks .",0
H1014,"He does not like chokers , he prefers canvasbacks .",1
H1015,"He does not like ducks , he prefers canvasbacks .",0
H1016,"He does not like canvasbacks , he prefers ducks .",0
H1017,"He does not like armoires , he prefers dabbling ducks .",1
H1018,"He does not like ducks , he prefers dabbling ducks .",0
H1019,"He does not like dabbling ducks , he prefers ducks .",0
H1020,"He does not like cockatoos , he prefers armoires .",1
H1021,"He does not like wardrobes , he prefers armoires .",0
H1022,"He does not like armoires , he prefers wardrobes .",0
H1023,"He does not like holm oaks , he prefers clothes closets .",1
H1024,"He does not like wardrobes , he prefers clothes closets .",0
H1025,"He does not like clothes closets , he prefers wardrobes .",0
H1026,"He does not like anklets , he prefers coat closets .",1
H1027,"He does not like wardrobes , he prefers coat closets .",0
H1028,"He does not like coat closets , he prefers wardrobes .",0
H1029,"He does not like disquisitions , he prefers beluga caviar .",1
H1030,"He does not like caviar , he prefers beluga caviar .",0
H1031,"He does not like beluga caviar , he prefers caviar .",0
H1032,"He does not like barber chairs , he prefers camises .",1
H1033,"He does not like shirts , he prefers camises .",0
H1034,"He does not like camises , he prefers shirts .",0
H1035,"He does not like argyles , he prefers dashikis .",1
H1036,"He does not like shirts , he prefers dashikis .",0
H1037,"He does not like dashikis , he prefers shirts .",0
H1038,"He does not like berths , he prefers dress shirts .",1
H1039,"He does not like shirts , he prefers dress shirts .",0
H1040,"He does not like dress shirts , he prefers shirts .",0
H1041,"He does not like spaghetti Westerns , he prefers hair shirts .",1
H1042,"He does not like shirts , he prefers hair shirts .",0
H1043,"He does not like hair shirts , he prefers shirts .",0
H1044,"He does not like alarms , he prefers bacon strips .",1
H1045,"He does not like bacon , he prefers bacon strips .",0
H1046,"He does not like bacon strips , he prefers bacon .",0
H1047,"He does not like Belgian hares , he prefers Canadian bacons .",1
H1048,"He does not like bacon , he prefers Canadian bacons .",0
H1049,"He does not like Canadian bacons , he prefers bacon .",0
H1050,"He does not like elations , he prefers flitches .",1
H1051,"He does not like bacon , he prefers flitches .",0
H1052,"He does not like flitches , he prefers bacon .",0
H1053,"He does not like exultations , he prefers gammons .",1
H1054,"He does not like bacon , he prefers gammons .",0
H1055,"He does not like gammons , he prefers bacon .",0
H1056,"He does not like boogies , he prefers cowbirds .",1
H1057,"He does not like blackbirds , he prefers cowbirds .",0
H1058,"He does not like cowbirds , he prefers blackbirds .",0
H1059,"He does not like frissons , he prefers grackles .",1
H1060,"He does not like blackbirds , he prefers grackles .",0
H1061,"He does not like grackles , he prefers blackbirds .",0
H1062,"He does not like blackfish , he prefers red-winged blackbirds .",1
H1063,"He does not like blackbirds , he prefers red-winged blackbirds .",0
H1064,"He does not like red-winged blackbirds , he prefers blackbirds .",0
H1065,"He does not like Canadian bacons , he prefers rusty blackbirds .",1
H1066,"He does not like blackbirds , he prefers rusty blackbirds .",0
H1067,"He does not like rusty blackbirds , he prefers blackbirds .",0
H1068,"He does not like English sparrows , he prefers basenjis .",1
H1069,"He does not like dogs , he prefers basenjis .",0
H1070,"He does not like basenjis , he prefers dogs .",0
H1071,"He does not like knee-highs , he prefers corgis .",1
H1072,"He does not like dogs , he prefers corgis .",0
H1073,"He does not like corgis , he prefers dogs .",0
H1074,"He does not like readers , he prefers curs .",1
H1075,"He does not like dogs , he prefers curs .",0
H1076,"He does not like curs , he prefers dogs .",0
H1077,"He does not like depressions , he prefers dalmatians .",1
H1078,"He does not like dogs , he prefers dalmatians .",0
H1079,"He does not like dalmatians , he prefers dogs .",0
H1080,"He does not like elations , he prefers agapes .",1
H1081,"He does not like love , he prefers agapes .",0
H1082,"He does not like agapes , he prefers love .",0
H1083,"He does not like spaghetti Westerns , he prefers amorousness .",1
H1084,"He does not like love , he prefers amorousness .",0
H1085,"He does not like amorousness , he prefers love .",0
H1086,"He does not like roman a clefs , he prefers ardors .",1
H1087,"He does not like love , he prefers ardors .",0
H1088,"He does not like ardors , he prefers love .",0
H1089,"He does not like elations , he prefers prosciutto .",1
H1090,"He does not like ham , he prefers prosciutto .",0
H1091,"He does not like prosciutto , he prefers ham .",0
H1092,"He does not like fumed oaks , he prefers Virginia hams .",1
H1093,"He does not like ham , he prefers Virginia hams .",0
H1094,"He does not like Virginia hams , he prefers ham .",0
H1095,"He does not like amazons , he prefers spaghetti Westerns .",1
H1096,"He does not like westerns , he prefers spaghetti Westerns .",0
H1097,"He does not like spaghetti Westerns , he prefers westerns .",0
H1098,"He does not like manuals , he prefers bibles .",1
H1099,"He does not like handbooks , he prefers bibles .",0
H1100,"He does not like bibles , he prefers handbooks .",0
H1101,"He does not like corgis , he prefers guidebooks .",1
H1102,"He does not like handbooks , he prefers guidebooks .",0
H1103,"He does not like guidebooks , he prefers handbooks .",0
H1104,"He does not like creeps , he prefers manuals .",1
H1105,"He does not like handbooks , he prefers manuals .",0
H1106,"He does not like manuals , he prefers handbooks .",0
H1107,"He does not like manuals , he prefers reckoners .",1
H1108,"He does not like handbooks , he prefers reckoners .",0
H1109,"He does not like reckoners , he prefers handbooks .",0
H1110,"I like bellbottom trousers , more than anklets .",1
H1111,"I like socks , more than anklets .",0
H1112,"I like anklets , more than socks .",0
H1113,"I like armoires , more than argyles .",1
H1114,"I like socks , more than argyles .",0
H1115,"I like argyles , more than socks .",0
H1116,"I like chokers , more than athletic socks .",1
H1117,"I like socks , more than athletic socks .",0
H1118,"I like athletic socks , more than socks .",0
H1119,"I like clothes closets , more than knee-highs .",1
H1120,"I like socks , more than knee-highs .",0
H1121,"I like knee-highs , more than socks .",0
H1122,"I like dark comedies , more than Atlantic salmon .",1
H1123,"I like salmon , more than Atlantic salmon .",0
H1124,"I like Atlantic salmon , more than salmon .",0
H1125,"I like alarms , more than blackfish .",1
H1126,"I like salmon , more than blackfish .",0
H1127,"I like blackfish , more than salmon .",0
H1128,"I like Canadian bacons , more than chinooks .",1
H1129,"I like salmon , more than chinooks .",0
H1130,"I like chinooks , more than salmon .",0
H1131,"I like European rabbits , more than chum salmon .",1
H1132,"I like salmon , more than chum salmon .",0
H1133,"I like chum salmon , more than salmon .",0
H1134,"I like bluepoints , more than pendant earrings .",1
H1135,"I like earrings , more than pendant earrings .",0
H1136,"I like pendant earrings , more than earrings .",0
H1137,"I like black ducks , more than chains .",1
H1138,"I like necklaces , more than chains .",0
H1139,"I like chains , more than necklaces .",0
H1140,"I like armchairs , more than chokers .",1
H1141,"I like necklaces , more than chokers .",0
H1142,"I like chokers , more than necklaces .",0
H1143,"I like chinooks , more than bluepoints .",1
H1144,"I like oysters , more than bluepoints .",0
H1145,"I like bluepoints , more than oysters .",0
H1146,"I like armoires , more than Japanese oysters .",1
H1147,"I like oysters , more than Japanese oysters .",0
H1148,"I like Japanese oysters , more than oysters .",0
H1149,"I like chains , more than pearl oysters .",1
H1150,"I like oysters , more than pearl oysters .",0
H1151,"I like pearl oysters , more than oysters .",0
H1152,"I like breeches , more than saddle oysters .",1
H1153,"I like oysters , more than saddle oysters .",0
H1154,"I like saddle oysters , more than oysters .",0
H1155,"I like dark comedies , more than compositions .",1
H1156,"I like essays , more than compositions .",0
H1157,"I like compositions , more than essays .",0
H1158,"I like dabbling ducks , more than disquisitions .",1
H1159,"I like essays , more than disquisitions .",0
H1160,"I like disquisitions , more than essays .",0
H1161,"I like introductions , more than memoirs .",1
H1162,"I like essays , more than memoirs .",0
H1163,"I like memoirs , more than essays .",0
H1164,"I like crammers , more than thanatopses .",1
H1165,"I like essays , more than thanatopses .",0
H1166,"I like thanatopses , more than essays .",0
H1167,"I like pearl oysters , more than alarms .",1
H1168,"I like fear , more than alarms .",0
H1169,"I like alarms , more than fear .",0
H1170,"I like cowbirds , more than apprehensions .",1
H1171,"I like fear , more than apprehensions .",0
H1172,"I like apprehensions , more than fear .",0
H1173,"I like guidebooks , more than creeps .",1
H1174,"I like fear , more than creeps .",0
H1175,"I like creeps , more than fear .",0
H1176,"I like agapes , more than frissons .",1
H1177,"I like fear , more than frissons .",0
H1178,"I like frissons , more than fear .",0
H1179,"I like boogies , more than Eurasian hamsters .",1
H1180,"I like hamsters , more than Eurasian hamsters .",0
H1181,"I like Eurasian hamsters , more than hamsters .",0
H1182,"I like African greys , more than golden hamsters .",1
H1183,"I like hamsters , more than golden hamsters .",0
H1184,"I like golden hamsters , more than hamsters .",0
H1185,"I like pearl oysters , more than elations .",1
H1186,"I like joy , more than elations .",0
H1187,"I like elations , more than joy .",0
H1188,"I like Virginia hams , more than exhilarations .",1
H1189,"I like joy , more than exhilarations .",0
H1190,"I like exhilarations , more than joy .",0
H1191,"I like agapes , more than exuberances .",1
H1192,"I like joy , more than exuberances .",0
H1193,"I like exuberances , more than joy .",0
H1194,"I like dolefulness , more than exultations .",1
H1195,"I like joy , more than exultations .",0
H1196,"I like exultations , more than joy .",0
H1197,"I like spaghetti Westerns , more than French bulldogs .",1
H1198,"I like bulldogs , more than French bulldogs .",0
H1199,"I like French bulldogs , more than bulldogs .",0
H1200,"I like grackles , more than cheerlessness .",1
H1201,"I like sadness , more than cheerlessness .",0
H1202,"I like cheerlessness , more than sadness .",0
H1203,"I like clothes closets , more than depressions .",1
H1204,"I like sadness , more than depressions .",0
H1205,"I like depressions , more than sadness .",0
H1206,"I like wildcats , more than dolefulness .",1
H1207,"I like sadness , more than dolefulness .",0
H1208,"I like dolefulness , more than sadness .",0
H1209,"I like memoirs , more than downheartedness .",1
H1210,"I like sadness , more than downheartedness .",0
H1211,"I like downheartedness , more than sadness .",0
H1212,"I like red-winged blackbirds , more than ancient pines .",1
H1213,"I like pines , more than ancient pines .",0
H1214,"I like ancient pines , more than pines .",0
H1215,"I like prosciutto , more than black pines .",1
H1216,"I like pines , more than black pines .",0
H1217,"I like black pines , more than pines .",0
